Designator,Footprint,Quantity,Value,LCSC Part #
"C2_4, C2_3, C2_2, C2",0603,4,22uF,C2762594
"C3_4, C3_3, C3_2, C3, C4_4, C4_3, C4_2, C4, C5_4, C5_3, C5_2, C5, C6_4, C6_3, C6_2, C6",0603,16,10uF,C92487
"C7_4, C7_3, C7_2, C7",CP_Elec_6.3x7.7,4,100uF,C3339
"D1_4, D1_3, D1_2, D1",DFN1006-2,4,PESD5V5C1BL,C2827636
"D3_4, D3_3, D3_2, D3, D4_4, D4_3, D4_2, D4",0603,8,Green,C965804
"J1_4, J1_3, J1_2, J1",GCT_USB4105-GF-A,4,USB_C_PowerOnly_6P,C165948
"J2_4, J2_3, J2_2, J2",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,4,Power,C2763614
"L1_4, L1_3, L1_2, L1",L_Sunlord_MWSA0402S,4,2.2u,C408335
"PS1_4, PS1_3, PS1_2, PS1",Converter_ACDC_MeanWell_IRM-10-xx_THT,4,IRM-10-5,C2857903
"R1_4, R1_3, R1_2, R1, R2_4, R2_3, R2_2, R2",0603,8,5.1K,C2907114
"R3_4, R3_3, R3_2, R3",0603,4,4.7k,C2907166
"R4_4, R4_3, R4_2, R4",0603,4,1k,C2907113
"U1_4, U1_3, U1_2, U1",TO-252-2,4,AZ1084-3.3,C151391
"U2_4, U2_3, U2_2, U2",SOTFL50P160X60-8N,4,LM66200DRLR,C3235556
